Gmt time,Open,High,Low,Close,Volume
29.01.2018 12:00:00.000,108.701,109.078,108.624,109.018,37790.8008
29.01.2018 16:00:00.000,109.019,109.202,108.900,108.945,30155.859800000002
29.01.2018 20:00:00.000,108.945,109.013,108.893,108.943,16740.299899999998
30.01.2018 00:00:00.000,108.944,109.202,108.765,108.799,34466.1802
30.01.2018 04:00:00.000,108.799,108.843,108.610,108.751,35445.6801
30.01.2018 08:00:00.000,108.755,108.804,108.525,108.608,41410.5595
30.01.2018 12:00:00.000,108.608,108.879,108.412,108.819,49686.9199
30.01.2018 16:00:00.000,108.817,108.936,108.714,108.770,41858.178700000004
30.01.2018 20:00:00.000,108.771,108.873,108.691,108.741,17703.2698
31.01.2018 00:00:00.000,108.748,109.088,108.740,108.881,42017.12
31.01.2018 04:00:00.000,108.880,108.894,108.596,108.692,33246.5005
31.01.2018 08:00:00.000,108.692,108.842,108.628,108.771,30383.4102
31.01.2018 12:00:00.000,108.774,109.179,108.711,109.172,38606.5401
31.01.2018 16:00:00.000,109.172,109.444,108.991,109.095,44173.4096
31.01.2018 20:00:00.000,109.093,109.260,109.000,109.194,24531.74
01.02.2018 00:00:00.000,109.193,109.413,109.094,109.339,26863.539500000003
01.02.2018 04:00:00.000,109.339,109.639,109.223,109.592,27055.7796
01.02.2018 08:00:00.000,109.595,109.749,109.446,109.681,35516.0195
01.02.2018 12:00:00.000,109.680,109.699,109.238,109.374,47223.2403
01.02.2018 16:00:00.000,109.372,109.600,109.318,109.410,38305.6201
01.02.2018 20:00:00.000,109.413,109.474,109.225,109.397,24285.470200000003
02.02.2018 00:00:00.000,109.398,109.695,109.280,109.525,36775.1396
02.02.2018 04:00:00.000,109.527,109.827,109.527,109.775,28208.3404
02.02.2018 08:00:00.000,109.775,109.921,109.700,109.869,37213.2998
02.02.2018 12:00:00.000,109.869,110.482,109.826,110.385,58987.7408
02.02.2018 16:00:00.000,110.385,110.430,110.013,110.260,45619.3008
02.02.2018 20:00:00.000,110.260,110.285,110.080,110.137,16560.7202
04.02.2018 20:00:00.000,110.195,110.289,110.021,110.036,32787.020000000004
05.02.2018 00:00:00.000,110.034,110.169,109.792,109.961,36553.020000000004
05.02.2018 04:00:00.000,109.959,110.081,109.896,109.913,28942.1103
